time,logger,level,message,exception
2012-06-24 09:18:36.0267,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:Threads
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
",
2012-06-24 09:18:36.0267,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:Users
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
",
2012-06-24 09:18:36.0394,Raven.Database.Server.HttpServer,Debug,"Request #2,370: POST    -    51 ms - HitThatLine - 200 - /multi_get/",
2012-06-24 09:18:36.0394,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:DiscussionThreads
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 2 total.
",
2012-06-24 09:18:36.0394,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:Threads
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
",
2012-06-24 09:18:36.0394,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:Users
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
",
2012-06-24 09:18:36.0394,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:Threads,
2012-06-24 09:18:36.0716,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'threads/32' was found,
2012-06-24 09:18:36.0716,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:Threads
	Time: 20 ms
	Index: Raven/DocumentsByEntityName
	Results: 1 returned out of 1 total.
",
2012-06-24 09:18:37.2855,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:DiscussionThreads,
2012-06-24 09:18:37.2855,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'threads/30' was found,
2012-06-24 09:18:37.2855,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'threads/31' was found,
2012-06-24 09:18:37.2894,Raven.Database.Server.HttpServer,Debug,"Request #2,371: GET     -    29 ms - HitThatLine - 200 - /indexes/Raven/DocumentsByEntityName?query=Tag%253ADiscussionThreads&start=0&pageSize=3&aggregation=None&noCache=-1825393257",
2012-06-24 09:18:37.2894,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:DiscussionThreads
	Time: 28 ms
	Index: Raven/DocumentsByEntityName
	Results: 2 returned out of 2 total.
",
2012-06-24 09:18:37.4955,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:DiscussionThreads,
2012-06-24 09:18:37.4955,Raven.Database.Server.HttpServer,Debug,"Request #2,372: GET     -    13 ms - HitThatLine - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253ADiscussionThreads&start=0&pageSize=0&aggregation=None",
2012-06-24 09:18:37.4955,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:DiscussionThreads
	Time: 13 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 2 total.
",
2012-06-24 09:18:37.4955,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:Threads,
2012-06-24 09:18:37.4955,Raven.Database.Server.HttpServer,Debug,"Request #2,373: GET     -     1 ms - HitThatLine - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AThreads&start=0&pageSize=0&aggregation=None",
2012-06-24 09:18:37.4955,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:DiscussionThreads
	Time: 13 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 2 total.
",
2012-06-24 09:18:37.4955,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:Threads
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
",
2012-06-24 09:18:37.5091,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Raven/DocumentsByEntityName for: Tag:Users,
2012-06-24 09:18:37.5091,Raven.Database.Server.HttpServer,Debug,"Request #2,374: GET     -     1 ms - HitThatLine - 0 - /indexes/Raven/DocumentsByEntityName?query=Tag%253AUsers&start=0&pageSize=0&aggregation=None",
2012-06-24 09:18:37.5091,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:DiscussionThreads
	Time: 13 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 2 total.
",
2012-06-24 09:18:37.5091,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:Threads
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
",
2012-06-24 09:18:37.5091,Raven.Database.Server.HttpServer,Debug,"	Query: Tag:Users
	Time: 1 ms
	Index: Raven/DocumentsByEntityName
	Results: 0 returned out of 1 total.
",
2012-06-24 09:18:37.5091,Raven.Database.Server.HttpServer,Debug,"Request #2,375: POST    -    43 ms - HitThatLine - 200 - /multi_get/",
